商品id,一级品类,二级品类,商品标题,商品价格,省份,商品销量,店铺名称,店铺标签,先用后付,退货宝,风格,面料,版型,适用季节
\t880143197603,图书音像,少儿,少儿2025新款,48.92,新疆,20万+人付款,诚信图书店,5年老店,先用后付,,,,,
\t590502736509,数码家电,耳机,耳机2025新款家用,872.72,湖北,2000+人付款,鄂优品数码店,回头客1万,,,,,,
\t149558567097,服饰鞋包,童装,春季童装百搭正品,564.46,河南,2000+人付款,豫优品服饰店专卖店,金牌卖家,先用后付,,休闲风,丝光棉,标准型,春季
\t960247432874,家居生活,收纳,收纳官方正品家用,1180.42,山西,2000+人付款,优品家居店专卖店,回头客10万,,退货宝,,,,
\t704633744013,农资园艺,肥料,肥料2025新款,251.99,广东,1000+人付款,粤时尚农资店,,先用后付,,,,,
\t767585320909,农资园艺,盆栽,盆栽2025新款,230.1,上海,2000+人付款,优品农资店专卖店,8年老店,先用后付,,,,,
\t257062035807,食品生鲜,粮油,粮油2025新款,76.61,广东,500+人付款,时尚食品店,正品保障,先用后付,,,,,
\t276500507325,食品生鲜,肉类,肉类高品质,170.44,海南,100+人付款,诚信食品店,5年老店,,,,,,
\t539480369900,汽车用品,清洁,清洁2025新款,194.1,辽宁,50万+人付款,优品汽车店专卖店,极速发货,,,,,,
\t919270429055,家居生活,收纳,收纳高品质户外,67.37,广东,20万+人付款,品质家居店,,,,,,,
\t658978962024,宠物用品,护理,夏季护理宽松2025新款,238.01,河北,1万+人付款,冀优品宠物店专卖店,,,退货宝,,,,春秋季
\t752834063107,钟表珠宝,项链,项链高品质,3562.39,四川,2000+人付款,川优品钟表店专卖店,回头客5万,,,,,,
\t439173544205,钟表珠宝,耳环,耳环官方正品,632.52,新疆,500+人付款,新诚信钟表店,,,,,,,
\t898737582828,玩具乐器,手办,手办官方正品,2082.63,吉林,1000+人付款,吉诚信玩具店,5年老店,,,,,,
\t452012499470,图书音像,教材,教材官方正品,22.92,广西,500+人付款,优品图书店,,,,,,,
\t354993403324,医药健康,计生用品,计生用品2025新款,1310.43,黑龙江,1000+人付款,黑品质医药店旗舰店,回头客10万,,,,,,
\t297317795733,农资园艺,花卉,花卉2025新款,444.61,河南,100+人付款,诚信农资店,回头客3千,,退货宝,,,,
\t538162919335,美妆护肤,美发,美发官方正品,240.92,湖南,5000+人付款,湘诚信美妆店,金牌卖家,,,,,,
\t416810969679,家居生活,厨具,厨具高品质办公,1372.99,广东,1000+人付款,粤诚信家居店,回头客3千,,,,,,
\t753221198118,图书音像,少儿,少儿2025新款,159.51,江苏,2000+人付款,优品图书店,极速发货,,,,,,
\t517185987711,宠物用品,玩具,春季玩具百搭热销,200.78,广东,200+人付款,诚信宠物店,5年老店,,,,,,秋季
\t976070734691,数码家电,电脑,电脑官方正品户外,4236.64,浙江,500+人付款,诚信数码店,皇冠店铺,,,,,,
\t604074614099,母婴用品,玩具,秋季玩具百搭正品,871.17,江西,2000+人付款,诚信母婴店专卖店,正品保障,,退货宝,通勤风,丝光棉,,冬季
\t519416175947,农资园艺,盆栽,盆栽2025新款,93.79,四川,5000+人付款,川诚信农资店专卖店,,,,,,,
\t491939613767,图书音像,少儿,少儿2025新款,122.84,湖南,5000+人付款,湘时尚图书店旗舰店,金牌卖家,,,,,,
\t172693722899,家居生活,家纺,家纺2025新款办公,2941.14,新疆,1万+人付款,新诚信家居店,,先用后付,退货宝,,,,
\t889305986613,宠物用品,玩具,玩具百搭2025新款,209.83,浙江,2000+人付款,浙优品宠物店专卖店,回头客10万,,退货宝,休闲风,,,春季
\t652673419722,农资园艺,农具,农具官方正品,442.83,黑龙江,500+人付款,品质农资店旗舰店,回头客5万,,,,,,
\t897359903137,宠物用品,食品,夏季食品百搭2025新款,394.15,四川,500+人付款,时尚宠物店旗舰店,皇冠店铺,,,通勤风,,,秋季
\t686344018514,服饰鞋包,箱包,春季箱包百搭热销,640.83,青海,5000+人付款,青品质服饰店,正品保障,,,时尚风,,修身型,
\t811480876926,礼品鲜花,礼品,礼品2025新款,1133.17,河南,5000+人付款,时尚礼品店,金牌卖家,,,,,,
\t127202263583,数码家电,家电,家电2025新款户外,731.26,上海,2万+人付款,沪优品数码店旗舰店,回头客1万,,,,,,
\t284147333603,美妆护肤,香水,香水官方正品,671.38,河北,200+人付款,品质美妆店,,,,,,,
\t286673073268,礼品鲜花,定制礼品,定制礼品2025新款,1912.63,安徽,200+人付款,品质礼品店专卖店,皇冠店铺,,,,,,
\t429197800908,服饰鞋包,男装,冬季男装宽松正品,1226.93,上海,2万+人付款,品质服饰店,金牌卖家,,,,,,夏季
\t534858788182,医药健康,计生用品,计生用品高品质,1371.55,台湾,1000+人付款,台诚信医药店旗舰店,8年老店,,退货宝,,,,
\t998995418778,服饰鞋包,男装,男装百搭热销,724.29,江苏,1万+人付款,苏优品服饰店,极速发货,,,时尚风,,宽松型,春秋季
\t471720201439,玩具乐器,乐器,乐器高品质,1441.3,湖北,5000+人付款,鄂优品玩具店,皇冠店铺,,退货宝,,,,
\t508580428102,宠物用品,食品,夏季食品宽松2025新款,278.97,广西,5000+人付款,品质宠物店旗舰店,正品保障,先用后付,,,,,冬季
\t455660973819,钟表珠宝,项链,项链高品质,138.56,重庆,5000+人付款,优品钟表店,5年老店,先用后付,,,,,
\t150305153174,数码家电,手机,手机2025新款家用,156.45,云南,1000+人付款,时尚数码店旗舰店,回头客10万,,,,,,
\t679933114687,汽车用品,安全,安全2025新款,976.73,福建,1000+人付款,诚信汽车店旗舰店,,,,,,,
\t508546240681,家居生活,家具,家具官方正品办公,177.75,北京,1000+人付款,诚信家居店旗舰店,极速发货,,,,,,
\t438991376545,数码家电,电脑,电脑2025新款家用,1455.67,上海,200+人付款,沪品质数码店旗舰店,回头客3千,,退货宝,,,,
\t483193846123,运动户外,运动服,运动服修身热销,1372.31,山东,100+人付款,品质运动店,回头客10万,先用后付,,通勤风,,,
\t207354863787,美妆护肤,面部护理,面部护理高品质,73.36,四川,10万+人付款,优品美妆店旗舰店,极速发货,,退货宝,,,,
\t306484709487,图书音像,少儿,少儿2025新款,178.17,四川,200+人付款,优品图书店,皇冠店铺,先用后付,,,,,
\t908920789438,农资园艺,肥料,肥料2025新款,376.65,山东,2000+人付款,时尚农资店专卖店,回头客3千,,,,,,
\t792674171769,运动户外,运动鞋,运动鞋修身2025新款,364.02,安徽,2000+人付款,品质运动店,金牌卖家,,,,,标准型,冬季
\t507947943825,宠物用品,服饰,春季服饰宽松2025新款,85.02,浙江,5万+人付款,优品宠物店专卖店,金牌卖家,,,,,,冬季
\t170477787924,钟表珠宝,项链,项链官方正品,3234.13,江苏,200+人付款,苏优品钟表店旗舰店,回头客10万,,,,,,
\t969042210761,数码家电,耳机,耳机2025新款家用,4767.03,江苏,2万+人付款,苏品质数码店,回头客10万,,,,,,
\t291772441362,农资园艺,农具,农具高品质,463.64,山东,1万+人付款,鲁时尚农资店,皇冠店铺,先用后付,,,,,
\t883504717114,农资园艺,肥料,肥料官方正品,596.37,山东,1000+人付款,品质农资店专卖店,回头客1万,,,,,,
\t866533679658,宠物用品,护理,护理宽松正品,299.28,重庆,2万+人付款,优品宠物店专卖店,,,,,,,
\t565762917372,宠物用品,玩具,春季玩具百搭2025新款,49.29,江西,200+人付款,赣诚信宠物店专卖店,回头客5万,,,,,,
\t852939405469,医药健康,计生用品,计生用品官方正品,1467.52,天津,10万+人付款,津品质医药店,回头客1万,,,,,,
\t447730397906,家居生活,收纳,收纳官方正品户外,900.32,江西,2000+人付款,优品家居店专卖店,正品保障,先用后付,,,,,
\t140057848969,宠物用品,用品,用品修身热销,239.77,贵州,500+人付款,优品宠物店,,,,,,,
\t910902041491,宠物用品,玩具,玩具修身热销,276.71,安徽,500+人付款,时尚宠物店旗舰店,极速发货,,,时尚风,,,
\t965500048600,汽车用品,保养,保养官方正品,1292.66,山东,5000+人付款,鲁诚信汽车店专卖店,回头客1万,,退货宝,,,,
\t526703269099,服饰鞋包,配饰,冬季配饰修身2025新款,958.88,湖北,100+人付款,鄂时尚服饰店旗舰店,极速发货,先用后付,,,羊毛,,冬季
\t115376874432,食品生鲜,肉类,肉类官方正品,48.9,甘肃,1000+人付款,诚信食品店专卖店,皇冠店铺,,,,,,
\t226621897641,图书音像,社科,社科2025新款,171.9,云南,1000+人付款,品质图书店,回头客3千,,,,,,
\t444296541520,农资园艺,种子,种子2025新款,378.49,广东,100+人付款,品质农资店,8年老店,,,,,,
\t506931943432,母婴用品,玩具,玩具修身热销,527.91,四川,2000+人付款,川品质母婴店旗舰店,极速发货,,,通勤风,纯棉,,
\t232623342264,家居生活,装饰,装饰2025新款办公,1544.88,河南,5万+人付款,优品家居店,正品保障,,,,,,
\t439709463412,服饰鞋包,男装,男装百搭热销,741.92,江苏,100+人付款,品质服饰店,金牌卖家,,,通勤风,丝光棉,,夏季
\t873340202531,家居生活,家纺,家纺高品质家用,2946.23,广东,2万+人付款,优品家居店,8年老店,,,,,,
\t445745705063,食品生鲜,海鲜,海鲜2025新款,451.97,浙江,200+人付款,时尚食品店专卖店,回头客10万,,,,,,
\t489945036533,数码家电,电脑,电脑官方正品户外,885.49,湖北,20万+人付款,鄂诚信数码店,皇冠店铺,先用后付,,,,,
\t408995802843,运动户外,户外装备,冬季户外装备修身2025新款,970.03,河北,200+人付款,优品运动店专卖店,正品保障,,,通勤风,,修身型,
\t452142781178,食品生鲜,海鲜,海鲜高品质,389.74,内蒙古,1000+人付款,蒙诚信食品店,回头客1万,,,,,,
\t548601663389,汽车用品,电子,电子2025新款,209.29,湖南,200+人付款,品质汽车店旗舰店,皇冠店铺,,,,,,
\t244083897851,家居生活,收纳,收纳高品质家用,397.85,四川,200+人付款,川时尚家居店,回头客5万,,,,,,
\t192599210647,母婴用品,辅食,秋季辅食百搭2025新款,950.59,浙江,100+人付款,时尚母婴店专卖店,皇冠店铺,,,时尚风,纯棉,,春季
\t533868293178,宠物用品,玩具,玩具百搭热销,329.16,江苏,100+人付款,苏诚信宠物店旗舰店,5年老店,先用后付,,,,,夏季
\t865083764271,食品生鲜,水果,水果2025新款,326.54,辽宁,5万+人付款,品质食品店专卖店,回头客5万,,,,,,
\t329018216118,礼品鲜花,鲜花,鲜花高品质,1702.13,陕西,1000+人付款,品质礼品店,金牌卖家,,,,,,
\t734866649331,食品生鲜,零食,零食2025新款,304.91,四川,500+人付款,川诚信食品店,5年老店,,,,,,
\t944760614731,家居生活,家具,家具官方正品户外,2347.48,湖北,500+人付款,诚信家居店,皇冠店铺,,,,,,
\t239745163434,服饰鞋包,鞋靴,鞋靴宽松正品,505.94,山东,500+人付款,诚信服饰店专卖店,5年老店,,,时尚风,聚酯纤维,修身型,秋季
\t927298680049,农资园艺,种子,种子官方正品,607.87,北京,500+人付款,京时尚农资店,5年老店,,,,,,
\t932550706952,图书音像,教材,教材2025新款,77.94,广东,1000+人付款,品质图书店,5年老店,,,,,,
\t992845618765,宠物用品,服饰,冬季服饰百搭正品,50.13,云南,1000+人付款,滇时尚宠物店旗舰店,,,退货宝,时尚风,,,秋季
\t749423572440,母婴用品,童装,夏季童装百搭热销,460.17,山西,1000+人付款,时尚母婴店旗舰店,皇冠店铺,,,时尚风,纯棉,,
\t858344563058,钟表珠宝,耳环,耳环2025新款,3510.11,云南,5万+人付款,滇优品钟表店,,先用后付,退货宝,,,,
\t374986043867,钟表珠宝,耳环,耳环2025新款,3441.91,广东,500+人付款,粤时尚钟表店旗舰店,极速发货,,,,,,
\t131544136127,钟表珠宝,戒指,戒指官方正品,1928.39,广西,200+人付款,桂时尚钟表店专卖店,极速发货,先用后付,退货宝,,,,
\t302232047593,服饰鞋包,女装,女装宽松热销,501.61,上海,5000+人付款,品质服饰店专卖店,皇冠店铺,,,通勤风,丝光棉,宽松型,夏季
\t696685323904,玩具乐器,益智玩具,益智玩具官方正品,1507.44,江苏,2000+人付款,时尚玩具店,回头客1万,,,,,,
\t758918577586,钟表珠宝,耳环,耳环高品质,1239.28,河南,500+人付款,诚信钟表店专卖店,8年老店,,,,,,
\t820895929550,数码家电,电脑,电脑官方正品办公,4716.22,重庆,200+人付款,时尚数码店,回头客3千,,退货宝,,,,
\t776397033077,家居生活,装饰,装饰高品质办公,194.48,天津,1000+人付款,优品家居店旗舰店,,先用后付,,,,,
\t511797049499,宠物用品,护理,夏季护理修身正品,188.53,安徽,100+人付款,时尚宠物店专卖店,回头客1万,先用后付,,休闲风,,,春季
\t755457937203,家居生活,厨具,厨具2025新款办公,1241.73,云南,1000+人付款,诚信家居店,8年老店,,,,,,
\t763369510182,礼品鲜花,定制礼品,定制礼品2025新款,803.61,北京,1000+人付款,诚信礼品店,回头客10万,,,,,,
\t193003321135,钟表珠宝,手链,手链官方正品,3822.06,江西,1万+人付款,时尚钟表店,回头客3千,先用后付,,,,,
\t757932581922,图书音像,少儿,少儿官方正品,29.81,湖南,200+人付款,诚信图书店旗舰店,回头客3千,,,,,,
\t277959127058,母婴用品,童装,冬季童装百搭正品,727.32,河北,1000+人付款,时尚母婴店,回头客1万,,,,丝光棉,,
\t576878549416,服饰鞋包,箱包,冬季箱包修身2025新款,616.67,黑龙江,200+人付款,黑优品服饰店,回头客5万,,,时尚风,纯棉,,春秋季
\t272246667863,母婴用品,辅食,冬季辅食修身正品,1295.71,上海,10万+人付款,沪品质母婴店,,,,时尚风,丝光棉,,
\t226023001052,玩具乐器,益智玩具,益智玩具官方正品,96.81,浙江,500+人付款,时尚玩具店旗舰店,回头客3千,,,,,,
\t551727802038,图书音像,教材,教材2025新款,148.12,湖南,1000+人付款,品质图书店专卖店,极速发货,,退货宝,,,,
\t235960472685,农资园艺,花卉,花卉2025新款,399.86,广东,5万+人付款,品质农资店,正品保障,,,,,,
\t540100919109,宠物用品,服饰,秋季服饰修身正品,101.95,广东,5000+人付款,优品宠物店,回头客1万,,退货宝,休闲风,,,秋季
\t999981405042,美妆护肤,身体护理,身体护理2025新款,651.17,陕西,1000+人付款,陕时尚美妆店专卖店,回头客5万,,,,,,
\t313282951636,数码家电,电脑,电脑2025新款家用,3678.39,安徽,100+人付款,品质数码店,回头客1万,,,,,,
\t843444026957,玩具乐器,益智玩具,益智玩具官方正品,461.23,江西,2000+人付款,赣优品玩具店,极速发货,,,,,,
\t775189275216,礼品鲜花,定制礼品,定制礼品官方正品,1914.5,海南,5万+人付款,琼诚信礼品店专卖店,极速发货,,,,,,
\t225438232407,运动户外,户外装备,冬季户外装备百搭2025新款,209.49,福建,200+人付款,时尚运动店旗舰店,回头客10万,,,,,宽松型,
\t726980757576,医药健康,医疗器械,医疗器械高品质,1133.99,云南,100+人付款,滇时尚医药店,回头客10万,,,,,,
\t859009362361,汽车用品,清洁,清洁官方正品,1147.91,北京,200+人付款,时尚汽车店,8年老店,先用后付,,,,,
\t591376397880,玩具乐器,乐器,乐器高品质,271.34,香港,2000+人付款,优品玩具店旗舰店,5年老店,,,,,,
\t356138602831,美妆护肤,彩妆,彩妆2025新款,247.55,湖北,2000+人付款,鄂优品美妆店旗舰店,正品保障,,,,,,
\t312694388246,农资园艺,花卉,花卉2025新款,441.28,四川,500+人付款,时尚农资店旗舰店,8年老店,,,,,,
\t362793936060,服饰鞋包,箱包,箱包百搭热销,644.48,福建,5万+人付款,闽时尚服饰店专卖店,回头客1万,,,通勤风,羊毛,,春季
\t936068711568,食品生鲜,海鲜,海鲜2025新款,437.09,台湾,1000+人付款,品质食品店,回头客5万,,,,,,
\t452240448215,医药健康,计生用品,计生用品高品质,1255.95,陕西,200+人付款,时尚医药店,回头客10万,,,,,,
\t991103207575,图书音像,小说,小说高品质,264.2,广西,5000+人付款,桂时尚图书店,金牌卖家,,,,,,
\t944649836897,礼品鲜花,定制礼品,定制礼品高品质,419.64,福建,1000+人付款,优品礼品店,回头客1万,,,,,,
\t176790934751,食品生鲜,粮油,粮油2025新款,487.18,浙江,100+人付款,浙品质食品店,8年老店,,,,,,
\t516371514405,母婴用品,奶粉,春季奶粉修身正品,1023.41,河北,2000+人付款,诚信母婴店,极速发货,,,,,,春秋季
\t387981787866,汽车用品,清洁,清洁官方正品,809.23,澳门,1万+人付款,时尚汽车店,8年老店,,,,,,
\t293174693527,汽车用品,清洁,清洁高品质,646.63,浙江,500+人付款,浙优品汽车店专卖店,5年老店,,退货宝,,,,
\t856453477060,钟表珠宝,手表,手表高品质,1835.23,福建,5000+人付款,诚信钟表店旗舰店,皇冠店铺,先用后付,,,,,
\t763244705796,礼品鲜花,礼品,礼品2025新款,1495.21,四川,200+人付款,品质礼品店,回头客5万,,,,,,
\t342555401649,运动户外,运动服,夏季运动服修身正品,892.57,河南,10万+人付款,品质运动店专卖店,回头客5万,,,,,,夏季
\t852901418029,家居生活,厨具,厨具官方正品家用,1349.6,上海,2000+人付款,诚信家居店专卖店,回头客1万,,,,,,
\t794952045624,服饰鞋包,童装,夏季童装宽松正品,459.22,江西,1万+人付款,品质服饰店,金牌卖家,,退货宝,,,,春秋季
\t137901450984,礼品鲜花,定制礼品,定制礼品官方正品,1380.74,广东,5000+人付款,诚信礼品店旗舰店,正品保障,先用后付,,,,,
\t814292463039,钟表珠宝,手链,手链高品质,3346.08,河北,2000+人付款,优品钟表店旗舰店,正品保障,,,,,,
\t565135774399,家居生活,家具,家具官方正品办公,670.25,安徽,2000+人付款,诚信家居店旗舰店,回头客5万,,,,,,
\t616957597710,医药健康,药品,药品2025新款,795.09,广东,1000+人付款,诚信医药店专卖店,回头客5万,,退货宝,,,,
\t308787582270,美妆护肤,面部护理,面部护理高品质,864.58,福建,500+人付款,时尚美妆店,回头客1万,,,,,,
\t235962058379,运动户外,户外装备,春季户外装备百搭2025新款,1132.14,福建,1000+人付款,优品运动店专卖店,金牌卖家,,,时尚风,,,冬季
\t628324991764,宠物用品,护理,秋季护理百搭正品,88.64,河南,1万+人付款,豫品质宠物店专卖店,回头客5万,,,通勤风,,,冬季
\t133935169153,汽车用品,电子,电子高品质,1271.9,广西,1000+人付款,桂时尚汽车店,回头客5万,,,,,,
\t435229552991,图书音像,经管,经管高品质,122.22,山东,50万+人付款,诚信图书店,正品保障,,,,,,
\t291769393861,农资园艺,花卉,花卉高品质,801.92,福建,1000+人付款,时尚农资店专卖店,回头客5万,,,,,,
\t322271978449,宠物用品,护理,护理百搭热销,226.23,海南,500+人付款,诚信宠物店专卖店,回头客3千,,,,,,春秋季
\t557532574796,运动户外,运动鞋,夏季运动鞋修身2025新款,490.79,江苏,1000+人付款,苏品质运动店旗舰店,5年老店,,,,,,
\t725991586509,玩具乐器,手办,手办官方正品,2191.28,贵州,1000+人付款,品质玩具店,金牌卖家,,,,,,
\t936086929897,运动户外,健身器材,夏季健身器材百搭正品,1516.91,湖南,1万+人付款,诚信运动店专卖店,回头客1万,,,通勤风,,,冬季
\t983045800369,汽车用品,电子,电子官方正品,1224.52,四川,200+人付款,诚信汽车店专卖店,金牌卖家,,,,,,
\t927457795503,医药健康,计生用品,计生用品官方正品,668.29,江西,1000+人付款,赣品质医药店,,,,,,,
\t385435985099,钟表珠宝,手链,手链官方正品,983.11,吉林,1000+人付款,吉品质钟表店旗舰店,8年老店,,,,,,
\t749491965868,玩具乐器,模型,模型高品质,1520.64,浙江,100+人付款,时尚玩具店旗舰店,8年老店,,退货宝,,,,
\t552944590445,钟表珠宝,手表,手表2025新款,3175.62,甘肃,5000+人付款,诚信钟表店专卖店,,先用后付,,,,,
\t527595275440,美妆护肤,彩妆,彩妆2025新款,54.91,新疆,1000+人付款,品质美妆店专卖店,5年老店,,,,,,
\t472640281235,运动户外,健身器材,冬季健身器材百搭2025新款,1037.9,吉林,5000+人付款,时尚运动店,回头客5万,,,,,宽松型,
\t673080919643,运动户外,运动服,春季运动服修身正品,1158.83,湖北,5万+人付款,时尚运动店,5年老店,,,,,,秋季
\t685159829592,医药健康,药品,药品官方正品,748.11,江苏,100+人付款,时尚医药店,金牌卖家,,,,,,
\t255483417751,运动户外,健身器材,春季健身器材宽松热销,1256.1,福建,2万+人付款,品质运动店,回头客1万,,,休闲风,,标准型,夏季
\t640025402334,运动户外,健身器材,春季健身器材宽松2025新款,1171.73,辽宁,200+人付款,辽优品运动店专卖店,,,,,,,秋季
\t334441254350,图书音像,社科,社科官方正品,263.35,广东,200+人付款,粤品质图书店,金牌卖家,先用后付,,,,,
\t108864900584,图书音像,经管,经管2025新款,178.31,广东,2000+人付款,粤时尚图书店,回头客1万,先用后付,,,,,
\t904081144648,运动户外,运动服,夏季运动服宽松正品,527.89,广东,1000+人付款,诚信运动店,正品保障,,,,,,春秋季
\t151552859656,母婴用品,纸尿裤,春季纸尿裤百搭正品,81.41,北京,2000+人付款,品质母婴店,回头客1万,,,,纯棉,,
\t965796647924,玩具乐器,模型,模型高品质,87.95,四川,1000+人付款,川品质玩具店旗舰店,回头客1万,先用后付,,,,,
\t538877965348,医药健康,药品,药品高品质,1548.51,北京,1000+人付款,京品质医药店,,,,,,,
\t473947693747,宠物用品,食品,夏季食品宽松2025新款,261.52,陕西,500+人付款,陕时尚宠物店,极速发货,,,,,,夏季
\t224130107601,母婴用品,纸尿裤,纸尿裤修身热销,1138.07,上海,10万+人付款,诚信母婴店旗舰店,5年老店,,,休闲风,羊毛,,春季
\t759662643504,玩具乐器,手办,手办官方正品,1023.42,湖南,5万+人付款,品质玩具店旗舰店,回头客3千,,,,,,
\t987728935400,母婴用品,玩具,夏季玩具宽松2025新款,795.34,四川,500+人付款,川时尚母婴店专卖店,5年老店,先用后付,退货宝,,莫代尔,,秋季
\t288261843448,美妆护肤,面部护理,面部护理官方正品,253.39,江苏,5000+人付款,诚信美妆店旗舰店,,,,,,,
\t579091697549,图书音像,小说,小说2025新款,273.81,四川,1000+人付款,品质图书店,金牌卖家,,,,,,
\t787937656089,医药健康,保健品,保健品2025新款,130.74,上海,1000+人付款,品质医药店旗舰店,,,,,,,
\t988239143926,玩具乐器,乐器,乐器官方正品,2235.72,陕西,5000+人付款,陕优品玩具店,回头客5万,,,,,,
\t130949823119,医药健康,药品,药品高品质,1582.13,山东,2000+人付款,品质医药店,回头客5万,先用后付,,,,,
\t917815621595,钟表珠宝,戒指,戒指高品质,3041.66,湖南,500+人付款,品质钟表店专卖店,回头客1万,,,,,,
\t858996027282,图书音像,社科,社科2025新款,286.97,广东,2000+人付款,时尚图书店旗舰店,皇冠店铺,先用后付,,,,,
\t642491963466,数码家电,家电,家电官方正品户外,4412.49,江苏,1000+人付款,时尚数码店旗舰店,,,,,,,
\t683273430844,玩具乐器,乐器,乐器官方正品,135.71,浙江,2000+人付款,品质玩具店专卖店,回头客5万,,,,,,
\t866405042177,运动户外,运动服,运动服修身2025新款,79.08,湖北,1000+人付款,优品运动店,回头客3千,,,休闲风,,,春秋季
\t189557098049,图书音像,社科,社科2025新款,109.56,江苏,100+人付款,品质图书店旗舰店,正品保障,,,,,,
\t884596026360,数码家电,相机,相机官方正品办公,5379.38,湖南,1000+人付款,诚信数码店,回头客5万,先用后付,,,,,
\t297298389477,钟表珠宝,耳环,耳环高品质,2759.75,河南,1万+人付款,诚信钟表店,回头客1万,,,,,,
\t749168893740,农资园艺,农具,农具2025新款,38.1,湖南,200+人付款,湘优品农资店专卖店,回头客10万,,,,,,
\t760706005679,母婴用品,纸尿裤,秋季纸尿裤修身2025新款,1195.26,山东,2万+人付款,时尚母婴店,,,,休闲风,聚酯纤维,,冬季
\t607257511166,数码家电,耳机,耳机官方正品户外,1139.8,湖北,1万+人付款,鄂品质数码店,极速发货,,,,,,
